department,leaveType,leaveDuration,month,dayOfWeek,previousLeavesTaken,ageYears,tenureMonths,attendanceReliability,status
Health & Safety,Sick Leave,1,5,4,3,36,132,91.2,Approved
Health & Safety,Sick Leave,1,5,0,4,40,204,93.7,Approved
Health & Safety,Sick Leave,1,5,0,5,40,204,88.3,Approved
Operations,Annual Leave,1,5,2,0,58,192,80.4,Approved
Health & Safety,Sick Leave,1,5,2,2,28,108,88.2,Approved
Health & Safety,Sick Leave,1,5,4,2,28,48,87.7,Approved
Health & Safety,Sick Leave,1,5,0,1,30,108,89.2,Approved
Health & Safety,Sick Leave,1,5,0,3,37,120,93.6,Approved
Health & Safety,Sick Leave,1,5,0,2,37,168,81.5,Approved
Health & Safety,Sick Leave,1,6,0,4,37,120,93.3,Approved
Health & Safety,Sick Leave,1,6,0,9,38,216,95.5,Approved
Health & Safety,Sick Leave,1,6,1,5,37,120,73.2,Approved
Health & Safety,Sick Leave,1,6,3,3,28,108,86.8,Approved
Health & Safety,Sick Leave,1,6,4,4,36,132,88.6,Approved
Administration,Casual Leave,1,6,4,10,38,216,86.8,Rejected
Health & Safety,Sick Leave,5,6,0,2,40,144,90.2,Rejected
Health & Safety,Sick Leave,3,6,0,10,38,216,90.4,Approved
Health & Safety,Sick Leave,1,6,1,5,41,192,83.5,Approved
Health & Safety,Sick Leave,1,6,0,11,38,216,94.4,Approved
Administration,Casual Leave,1,6,1,1,43,156,82.3,Approved
Health & Safety,Sick Leave,1,6,0,12,38,216,92.3,Rejected
Health & Safety,Sick Leave,1,6,2,4,28,108,88.8,Approved
Health & Safety,Sick Leave,1,6,2,5,50,216,91.4,Rejected
Health & Safety,Sick Leave,1,6,2,12,38,216,88.3,Rejected
Operations,Annual Leave,1,6,2,2,30,108,93.4,Approved
Health & Safety,Sick Leave,1,6,4,6,41,192,93.0,Approved
Health & Safety,Sick Leave,1,6,1,3,28,48,89.2,Approved
Health & Safety,Sick Leave,1,6,1,3,37,168,84.2,Rejected
Health & Safety,Sick Leave,1,7,3,3,30,108,88.4,Approved
Health & Safety,Sick Leave,1,7,3,5,28,108,84.9,Approved
Health & Safety,Sick Leave,1,7,4,5,36,132,88.2,Approved
Health & Safety,Sick Leave,1,7,0,0,33,96,95.2,Approved
Health & Safety,Sick Leave,1,7,4,4,28,48,84.4,Approved
Administration,Casual Leave,1,7,4,6,37,120,86.3,Rejected
Administration,Casual Leave,1,7,0,6,36,132,98.9,Approved
Health & Safety,Sick Leave,1,7,1,6,37,120,89.8,Approved
Operations,Annual Leave,1,7,0,1,43,156,78.9,Approved
Health & Safety,Sick Leave,1,7,0,0,48,144,87.4,Approved
Health & Safety,Sick Leave,1,7,1,7,41,192,94.6,Approved
Health & Safety,Sick Leave,10,7,1,6,28,108,78.6,Approved
Health & Safety,Sick Leave,1,7,1,12,38,216,83.9,Approved
Health & Safety,Sick Leave,1,7,4,5,50,216,86.5,Approved
Health & Safety,Sick Leave,1,7,4,2,28,36,92.5,Approved
Health & Safety,Sick Leave,1,7,0,2,33,156,90.7,Approved
Administration,Casual Leave,1,7,0,2,43,156,89.8,Approved
Health & Safety,Sick Leave,1,7,3,2,40,144,96.3,Rejected
Health & Safety,Sick Leave,1,7,3,0,39,168,83.8,Rejected
Health & Safety,Sick Leave,1,8,3,13,38,216,83.2,Rejected
Health & Safety,Sick Leave,1,8,0,6,40,204,82.4,Approved
Health & Safety,Sick Leave,1,8,1,8,41,192,99.4,Approved
Health & Safety,Sick Leave,1,8,1,7,37,120,98.5,Approved
Administration,Casual Leave,1,8,1,3,33,156,79.6,Approved
Administration,Casual Leave,1,8,1,3,43,156,80.5,Rejected
Health & Safety,Sick Leave,1,8,3,2,40,144,92.0,Approved
Health & Safety,Sick Leave,1,8,0,13,38,216,90.2,Approved
Health & Safety,Sick Leave,1,8,1,7,40,204,92.0,Approved
Health & Safety,Sick Leave,2,8,3,5,28,48,90.4,Approved
Health & Safety,Sick Leave,1,8,1,3,37,168,82.5,Rejected
Health & Safety,Sick Leave,1,8,1,9,41,192,89.2,Approved
Health & Safety,Sick Leave,1,8,1,8,37,120,95.5,Approved
Health & Safety,Sick Leave,1,8,3,3,40,144,86.8,Approved
Health & Safety,Sick Leave,1,8,0,7,36,132,100.0,Approved
Health & Safety,Sick Leave,1,9,1,10,41,192,88.1,Approved
Health & Safety,Sick Leave,1,9,1,9,37,120,94.8,Approved
Health & Safety,Sick Leave,1,9,1,0,34,168,91.1,Approved
Health & Safety,Sick Leave,1,9,3,4,40,144,87.9,Approved
Health & Safety,Sick Leave,1,9,4,4,30,108,90.6,Rejected
Health & Safety,Sick Leave,1,9,4,2,47,168,84.0,Approved
Health & Safety,Sick Leave,1,9,0,14,38,216,92.3,Approved
Health & Safety,Sick Leave,1,9,2,7,28,108,94.2,Approved
Health & Safety,Sick Leave,1,9,0,4,30,108,85.9,Approved
Health & Safety,Sick Leave,1,9,1,2,31,144,84.4,Approved
Health & Safety,Sick Leave,1,9,1,3,28,36,82.8,Approved
Health & Safety,Sick Leave,1,10,3,1,49,348,86.3,Approved
Health & Safety,Sick Leave,1,10,3,0,32,96,90.5,Rejected
Administration,Casual Leave,1,10,4,11,41,192,90.2,Approved
Health & Safety,Sick Leave,1,10,2,2,49,348,80.0,Approved
Health & Safety,Sick Leave,1,10,2,5,40,144,92.4,Approved
Health & Safety,Sick Leave,1,10,1,10,37,120,86.9,Approved
Health & Safety,Sick Leave,1,10,3,3,49,348,85.1,Approved
Health & Safety,Sick Leave,1,10,4,6,40,144,100.0,Approved
Health & Safety,Sick Leave,1,10,1,8,28,108,87.9,Approved
Health & Safety,Sick Leave,1,10,1,3,31,144,95.2,Approved
Health & Safety,Sick Leave,1,10,1,4,31,144,99.2,Approved
Health & Safety,Sick Leave,1,10,1,9,28,108,93.4,Rejected
Administration,Casual Leave,1,10,1,5,31,144,86.0,Approved
Health & Safety,Sick Leave,1,10,2,15,38,216,93.1,Rejected
Health & Safety,Sick Leave,1,10,2,1,58,192,78.3,Rejected
Health & Safety,Sick Leave,1,10,2,7,40,144,82.6,Approved
Health & Safety,Sick Leave,1,10,3,6,31,144,88.5,Approved
Health & Safety,Sick Leave,1,10,3,9,28,108,83.3,Rejected
Health & Safety,Sick Leave,1,10,4,7,31,144,84.6,Rejected
Health & Safety,Sick Leave,1,10,4,9,28,108,89.0,Approved
Health & Safety,Sick Leave,1,10,0,2,33,156,89.4,Approved
Health & Safety,Sick Leave,1,10,0,0,32,96,94.8,Approved
Health & Safety,Sick Leave,1,10,0,3,47,168,81.4,Approved
Administration,Casual Leave,1,10,0,10,28,108,94.3,Rejected
Health & Safety,Sick Leave,1,10,1,10,28,108,84.2,Approved
Operations,Annual Leave,1,11,1,15,38,216,83.6,Approved
Health & Safety,Sick Leave,1,11,2,11,37,120,86.9,Rejected
Health & Safety,Sick Leave,3,11,2,6,28,48,93.8,Approved
Health & Safety,Sick Leave,1,11,4,16,38,216,84.6,Rejected
Health & Safety,Sick Leave,1,11,1,11,37,120,80.5,Rejected
Operations,Annual Leave,1,11,2,4,33,156,93.1,Approved
Health & Safety,Sick Leave,1,11,4,1,32,96,90.7,Approved
Health & Safety,Sick Leave,1,11,4,11,28,108,85.5,Approved
Health & Safety,Sick Leave,1,11,1,4,28,36,83.2,Approved
Health & Safety,Sick Leave,1,11,2,8,40,144,93.0,Approved
Health & Safety,Sick Leave,1,11,3,11,37,120,89.6,Rejected
Health & Safety,Sick Leave,1,11,3,12,28,108,94.6,Approved
Health & Safety,Sick Leave,1,11,0,16,38,216,90.1,Rejected
Health & Safety,Sick Leave,1,11,0,11,37,120,90.4,Approved
Health & Safety,Sick Leave,1,11,1,12,37,120,82.8,Approved
Health & Safety,Sick Leave,1,11,1,13,28,108,98.0,Rejected
Administration,Casual Leave,1,11,1,9,40,144,97.0,Rejected
Administration,Casual Leave,1,11,2,5,33,156,82.0,Rejected
Health & Safety,Sick Leave,1,11,3,4,47,168,80.4,Approved
Administration,Casual Leave,1,11,3,3,43,156,86.1,Rejected
Health & Safety,Sick Leave,1,11,4,13,28,108,91.3,Approved
Administration,Casual Leave,1,11,4,7,31,144,84.1,Approved
Health & Safety,Sick Leave,1,11,0,5,28,36,86.7,Approved
Health & Safety,Sick Leave,4,12,1,16,38,216,83.0,Rejected
Health & Safety,Sick Leave,1,12,2,9,40,144,85.5,Approved
Health & Safety,Sick Leave,1,12,2,14,28,108,80.8,Rejected
Health & Safety,Sick Leave,1,12,4,5,30,108,80.3,Approved
Health & Safety,Sick Leave,1,12,4,14,28,108,92.3,Rejected
Health & Safety,Sick Leave,1,12,3,6,28,36,91.6,Approved
Operations,Annual Leave,1,12,4,8,40,204,92.4,Approved
Administration,Casual Leave,1,12,4,3,43,156,92.1,Approved
Operations,Annual Leave,1,12,0,0,31,12,94.3,Approved
Health & Safety,Sick Leave,2,12,1,6,30,108,93.2,Approved
Health & Safety,Sick Leave,1,12,1,14,28,108,96.5,Rejected
Health & Safety,Sick Leave,1,12,3,14,28,108,90.3,Rejected
Health & Safety,Sick Leave,1,12,0,14,28,108,90.8,Approved
Operations,Annual Leave,10,12,1,1,34,168,88.9,Approved
Health & Safety,Sick Leave,3,1,0,0,30,108,90.0,Rejected
Health & Safety,Sick Leave,2,1,3,0,30,108,87.0,Approved
Health & Safety,Sick Leave,1,1,3,0,40,204,86.0,Approved
Health & Safety,Sick Leave,1,1,4,1,40,204,94.5,Approved
Health & Safety,Sick Leave,1,1,0,1,30,108,95.4,Approved
Health & Safety,Sick Leave,1,1,2,2,40,204,94.7,Approved
Health & Safety,Sick Leave,1,1,3,0,49,348,83.8,Approved
Operations,Annual Leave,1,1,4,3,40,204,91.0,Approved
Administration,Casual Leave,1,1,0,2,30,108,83.3,Approved
Operations,Annual Leave,1,1,1,0,34,168,94.3,Approved
Administration,Casual Leave,1,1,2,3,30,108,89.4,Approved
Administration,Casual Leave,1,1,2,0,38,216,88.5,Approved
Health & Safety,Sick Leave,1,1,2,0,33,156,79.0,Approved
Administration,Casual Leave,1,1,3,1,38,216,84.6,Rejected
Administration,Casual Leave,1,1,4,1,38,216,86.1,Rejected
Health & Safety,Sick Leave,1,2,1,1,38,216,91.3,Approved
Health & Safety,Sick Leave,1,2,1,0,28,108,81.8,Approved
Health & Safety,Sick Leave,1,2,2,0,47,168,89.4,Approved
Administration,Casual Leave,1,2,2,2,38,216,84.3,Approved
Health & Safety,Sick Leave,1,2,3,1,28,108,90.8,Approved
Administration,Casual Leave,1,2,3,3,38,216,92.1,Approved
Administration,Casual Leave,1,2,3,4,30,108,88.8,Rejected
Health & Safety,Sick Leave,1,2,4,0,41,180,90.0,Approved
Administration,Casual Leave,1,2,4,4,38,216,91.7,Approved
Administration,Casual Leave,1,2,0,0,31,12,79.8,Approved
Administration,Casual Leave,1,2,0,5,38,216,82.2,Approved
Health & Safety,Sick Leave,1,2,1,2,28,108,86.5,Approved
Administration,Casual Leave,1,2,2,6,38,216,88.2,Rejected
Administration,Casual Leave,1,2,3,6,38,216,86.4,Approved
Health & Safety,Sick Leave,1,2,3,3,28,108,92.2,Approved
Health & Safety,Sick Leave,1,2,3,4,30,108,92.8,Rejected
Health & Safety,Sick Leave,1,2,4,4,40,204,80.7,Approved
Administration,Casual Leave,1,2,4,7,38,216,91.4,Approved
Health & Safety,Sick Leave,1,2,2,1,31,12,77.3,Approved
Administration,Casual Leave,1,2,2,4,30,108,94.3,Approved
Health & Safety,Sick Leave,1,2,3,8,38,216,95.3,Approved
Health & Safety,Sick Leave,1,2,0,1,34,168,85.4,Rejected
Health & Safety,Sick Leave,1,2,0,0,32,96,86.3,Approved
Health & Safety,Sick Leave,1,2,0,4,28,108,84.4,Approved
Administration,Casual Leave,1,2,1,9,38,216,88.9,Approved
Health & Safety,Sick Leave,1,2,1,1,47,168,74.6,Approved
Health & Safety,Sick Leave,1,2,1,5,28,108,81.8,Approved
Health & Safety,Sick Leave,1,2,4,1,32,96,91.8,Approved
Administration,Casual Leave,1,3,0,10,38,216,87.3,Rejected
Health & Safety,Sick Leave,1,3,0,2,47,168,93.4,Approved
Health & Safety,Sick Leave,1,3,1,0,58,192,99.2,Rejected
Health & Safety,Sick Leave,1,3,1,3,47,168,93.8,Approved
Health & Safety,Sick Leave,10,3,1,0,58,192,89.5,Approved
Administration,Casual Leave,1,3,2,10,38,216,100.0,Approved
Administration,Casual Leave,1,3,3,6,28,108,83.8,Approved
Administration,Casual Leave,1,3,3,11,38,216,97.8,Rejected
Health & Safety,Sick Leave,1,3,3,7,28,108,95.0,Approved
Administration,Casual Leave,1,3,4,5,30,108,80.8,Approved
Health & Safety,Sick Leave,1,3,0,2,32,96,86.3,Approved
Administration,Casual Leave,1,3,0,0,28,36,82.8,Approved
Health & Safety,Sick Leave,1,3,1,11,38,216,84.3,Approved
Administration,Casual Leave,1,3,4,6,30,108,79.5,Approved
Health & Safety,Sick Leave,1,3,0,12,38,216,80.5,Approved
Health & Safety,Sick Leave,1,3,0,4,47,168,88.8,Approved
Administration,Casual Leave,1,3,0,13,38,216,89.1,Approved
Health & Safety,Sick Leave,1,3,0,8,28,108,99.0,Approved
Administration,Casual Leave,1,3,1,14,38,216,100.0,Rejected
Health & Safety,Sick Leave,1,3,2,1,33,156,85.6,Rejected
Health & Safety,Sick Leave,1,3,2,1,58,192,83.1,Approved
Health & Safety,Sick Leave,1,3,3,5,47,168,86.4,Approved
Health & Safety,Sick Leave,1,3,4,7,30,108,86.2,Approved
Administration,Casual Leave,1,3,4,14,38,216,84.3,Approved
Administration,Casual Leave,1,3,1,15,38,216,86.1,Approved
Health & Safety,Sick Leave,1,3,2,0,46,288,89.3,Approved
Health & Safety,Sick Leave,3,3,2,1,34,168,85.9,Approved
Administration,Casual Leave,1,3,2,16,38,216,98.2,Approved
Administration,Casual Leave,1,3,3,17,38,216,90.9,Rejected
Health & Safety,Sick Leave,1,3,0,8,30,108,80.0,Approved
Administration,Casual Leave,10,3,0,1,33,156,88.3,Approved
Health & Safety,Sick Leave,1,3,2,0,31,144,86.5,Approved
Health & Safety,Sick Leave,1,4,0,9,28,108,79.5,Approved
Health & Safety,Sick Leave,1,4,0,0,37,120,79.8,Approved
Administration,Casual Leave,1,4,1,1,28,36,81.5,Approved
Administration,Casual Leave,1,4,2,6,47,168,82.9,Approved
Health & Safety,Sick Leave,1,4,3,0,33,156,83.1,Approved
Administration,Casual Leave,1,4,4,9,30,108,79.3,Approved
Health & Safety,Sick Leave,3,4,0,1,31,144,78.6,Approved
Operations,Annual Leave,1,4,1,5,40,204,84.2,Approved
Health & Safety,Sick Leave,1,4,1,0,50,216,88.1,Approved
Health & Safety,Sick Leave,1,4,1,2,28,36,98.2,Approved
Health & Safety,Sick Leave,1,4,2,1,37,120,92.4,Approved
Health & Safety,Sick Leave,1,4,4,0,37,168,85.1,Approved
Administration,Casual Leave,1,4,0,10,28,108,84.6,Rejected
Operations,Annual Leave,1,4,1,3,32,96,82.8,Approved
Health & Safety,Sick Leave,1,4,1,2,34,168,86.2,Rejected
Administration,Casual Leave,1,4,3,10,28,108,76.9,Approved
Health & Safety,Sick Leave,1,4,3,1,50,216,78.1,Rejected
Health & Safety,Sick Leave,1,5,0,1,37,168,86.6,Rejected
Administration,Casual Leave,1,5,2,1,41,180,88.0,Rejected
Health & Safety,Sick Leave,1,5,2,4,32,96,80.7,Approved
Health & Safety,Sick Leave,1,5,2,2,37,120,87.7,Approved
Administration,Casual Leave,1,5,2,0,43,156,92.1,Approved
Health & Safety,Sick Leave,1,5,3,10,30,108,79.7,Approved
Health & Safety,Sick Leave,1,5,3,0,40,144,88.8,Approved
Health & Safety,Sick Leave,1,5,3,1,41,180,89.7,Approved
Administration,Casual Leave,8,5,4,0,43,156,90.6,Rejected
Health & Safety,Sick Leave,1,5,4,2,41,180,92.2,Approved
Administration,Casual Leave,1,5,4,11,30,108,100.0,Rejected
Health & Safety,Sick Leave,1,5,0,1,50,216,86.2,Approved
Health & Safety,Sick Leave,1,5,1,2,50,216,87.9,Approved
Health & Safety,Sick Leave,1,5,1,3,37,120,85.1,Approved
Administration,Casual Leave,1,5,1,3,50,216,96.8,Rejected
Administration,Casual Leave,1,5,2,11,30,108,93.0,Approved
Administration,Casual Leave,1,5,2,0,36,132,89.5,Rejected
Operations,Annual Leave,1,5,4,6,40,204,88.9,Approved
Health & Safety,Sick Leave,6,5,0,2,34,168,90.1,Approved
Health & Safety,Sick Leave,1,5,0,5,32,96,81.7,Approved
Health & Safety,Sick Leave,1,5,2,1,40,144,87.5,Approved
Health & Safety,Sick Leave,1,5,2,7,40,204,80.7,Rejected
Health & Safety,Sick Leave,1,5,2,11,28,108,94.9,Approved
Health & Safety,Sick Leave,1,5,3,0,28,48,93.8,Approved
Health & Safety,Sick Leave,1,5,3,6,32,96,96.1,Approved
Health & Safety,Sick Leave,1,5,0,3,28,36,86.5,Approved
Health & Safety,Sick Leave,1,5,2,3,34,168,93.5,Rejected
Health & Safety,Sick Leave,1,5,4,7,40,204,96.6,Approved
Health & Safety,Sick Leave,1,5,4,3,34,168,91.6,Approved
Health & Safety,Sick Leave,1,5,0,12,28,108,83.2,Approved
Health & Safety,Sick Leave,1,6,2,1,46,288,83.5,Approved
Administration,Casual Leave,1,6,2,12,30,108,90.9,Approved
Administration,Casual Leave,1,6,4,4,37,120,75.3,Approved
Health & Safety,Sick Leave,1,6,2,5,37,120,81.9,Rejected
Health & Safety,Sick Leave,1,6,3,0,36,132,80.6,Approved
Administration,Casual Leave,3,6,3,3,50,216,87.6,Approved
Administration,Casual Leave,1,6,4,2,31,12,74.9,Approved
Administration,Casual Leave,1,6,4,13,30,108,82.1,Approved
Administration,Casual Leave,1,6,0,0,48,144,88.0,Rejected
Administration,Casual Leave,1,6,0,0,33,96,85.2,Rejected
Administration,Casual Leave,1,6,3,4,50,216,92.6,Approved
Health & Safety,Sick Leave,1,6,3,14,30,108,77.4,Approved
Health & Safety,Sick Leave,1,6,3,2,40,144,96.7,Approved
Health & Safety,Sick Leave,1,6,0,15,30,108,88.1,Approved
Health & Safety,Sick Leave,1,6,0,5,37,120,82.9,Approved
Health & Safety,Sick Leave,1,6,3,3,31,12,92.8,Rejected
Health & Safety,Sick Leave,1,6,4,6,37,120,82.7,Approved
Health & Safety,Sick Leave,1,6,2,7,37,120,88.5,Approved
Health & Safety,Sick Leave,1,6,2,3,31,12,93.2,Approved
Administration,Casual Leave,1,7,2,1,43,156,98.2,Approved
Administration,Casual Leave,1,7,4,4,31,12,83.4,Approved
Health & Safety,Sick Leave,1,7,0,2,58,192,81.7,Approved
Health & Safety,Sick Leave,1,7,0,8,37,120,84.0,Rejected
Health & Safety,Sick Leave,10,7,1,3,58,192,79.2,Approved
Health & Safety,Sick Leave,2,7,1,1,33,156,90.8,Approved
Health & Safety,Sick Leave,1,7,2,8,37,120,75.1,Rejected
Health & Safety,Sick Leave,1,7,2,4,28,36,90.0,Approved
Health & Safety,Sick Leave,1,7,2,13,28,108,97.1,Approved
Health & Safety,Sick Leave,10,7,0,2,31,144,97.7,Approved
Health & Safety,Sick Leave,1,7,1,2,33,156,90.1,Rejected
Health & Safety,Sick Leave,1,7,1,1,37,168,85.2,Approved
Administration,Casual Leave,1,7,1,0,33,156,73.3,Approved
Administration,Casual Leave,1,7,1,0,50,216,89.3,Rejected
Health & Safety,Sick Leave,1,7,2,0,38,216,92.6,Rejected
Health & Safety,Sick Leave,1,7,3,0,39,168,90.6,Approved
Health & Safety,Sick Leave,1,7,3,1,33,156,97.7,Approved
Health & Safety,Sick Leave,1,7,4,0,38,216,88.7,Approved
Health & Safety,Sick Leave,1,7,4,0,28,36,86.6,Approved
Health & Safety,Sick Leave,1,7,4,0,36,132,79.0,Approved
Administration,Casual Leave,5,7,0,0,34,168,79.2,Approved
Health & Safety,Sick Leave,1,7,0,0,37,168,78.0,Approved
Health & Safety,Sick Leave,1,7,0,1,36,132,77.8,Approved
Health & Safety,Sick Leave,1,7,1,2,36,132,81.7,Rejected
Health & Safety,Sick Leave,1,7,2,2,36,132,92.1,Approved
Health & Safety,Sick Leave,1,7,2,1,38,216,92.8,Approved
Health & Safety,Sick Leave,1,7,2,2,38,216,95.0,Approved
Health & Safety,Sick Leave,1,7,4,0,41,192,92.6,Approved
Operations,Annual Leave,1,7,0,3,38,216,80.2,Approved
Health & Safety,Sick Leave,1,7,3,0,33,156,81.3,Approved
Health & Safety,Sick Leave,1,8,2,0,47,168,95.6,Approved
Health & Safety,Sick Leave,1,8,2,0,28,48,78.1,Approved
Health & Safety,Sick Leave,1,8,0,4,38,216,94.5,Approved
Health & Safety,Sick Leave,5,8,0,1,28,36,82.0,Approved
Health & Safety,Sick Leave,1,8,4,3,36,132,78.7,Approved
Operations,Annual Leave,1,8,0,2,33,156,83.1,Approved
Health & Safety,Sick Leave,1,8,0,2,28,36,85.7,Approved
Health & Safety,Sick Leave,1,8,1,3,33,156,90.1,Approved
Health & Safety,Sick Leave,1,8,2,0,29,72,86.0,Approved
Operations,Annual Leave,1,8,2,4,33,156,81.4,Approved
Health & Safety,Sick Leave,1,8,4,5,38,216,82.4,Approved
Operations,Annual Leave,1,8,0,6,38,216,84.8,Approved
Operations,Annual Leave,1,8,3,0,48,144,86.9,Approved
Health & Safety,Sick Leave,1,8,3,1,37,168,88.3,Approved
Operations,Annual Leave,1,8,0,1,48,144,82.0,Approved
Health & Safety,Sick Leave,1,8,0,7,38,216,91.3,Approved
Health & Safety,Sick Leave,1,8,0,3,28,36,87.8,Approved
Operations,Annual Leave,1,8,1,5,33,156,85.0,Approved
Health & Safety,Sick Leave,1,8,3,0,32,144,82.9,Approved
Health & Safety,Sick Leave,1,8,4,2,48,144,93.6,Rejected
Health & Safety,Sick Leave,1,8,4,4,36,132,96.9,Approved
Health & Safety,Sick Leave,1,9,1,0,27,84,79.2,Approved
Health & Safety,Sick Leave,1,9,0,0,37,120,87.6,Approved
Health & Safety,Sick Leave,1,9,1,8,38,216,89.7,Rejected
Administration,Casual Leave,1,9,1,0,43,156,73.6,Approved
Health & Safety,Sick Leave,1,9,2,1,34,168,83.0,Approved
Health & Safety,Sick Leave,1,9,0,1,37,120,85.4,Rejected
Health & Safety,Sick Leave,1,9,1,8,38,216,79.7,Approved
Health & Safety,Sick Leave,1,9,3,0,40,144,94.8,Approved
Health & Safety,Sick Leave,1,9,4,5,36,132,93.9,Rejected
Health & Safety,Sick Leave,4,9,0,1,40,144,86.0,Rejected
Administration,Casual Leave,1,9,0,5,36,132,93.2,Rejected
Administration,Casual Leave,1,9,0,0,28,108,88.4,Rejected
Health & Safety,Sick Leave,1,9,1,0,28,108,80.0,Approved
Health & Safety,Sick Leave,1,9,1,1,37,120,82.9,Rejected
Administration,Casual Leave,1,9,1,6,33,156,94.0,Rejected
Administration,Casual Leave,1,9,1,0,50,216,94.1,Rejected
Operations,Annual Leave,1,9,2,1,28,108,84.1,Rejected
Health & Safety,Sick Leave,1,9,2,9,38,216,92.9,Approved
Administration,Casual Leave,1,9,2,0,31,144,90.2,Rejected
Health & Safety,Sick Leave,1,9,4,1,47,168,78.6,Approved
Health & Safety,Sick Leave,1,9,4,10,38,216,78.6,Rejected
Health & Safety,Sick Leave,1,9,4,5,36,132,84.6,Approved
Health & Safety,Sick Leave,1,10,1,10,38,216,85.6,Approved
Health & Safety,Sick Leave,1,10,1,1,37,120,83.5,Approved
Administration,Casual Leave,1,10,2,0,50,216,79.3,Rejected
Health & Safety,Sick Leave,1,10,3,0,30,108,83.9,Approved
Health & Safety,Sick Leave,1,10,4,11,38,216,91.1,Approved
Health & Safety,Sick Leave,1,10,4,1,28,108,97.8,Approved
Health & Safety,Sick Leave,1,10,2,2,28,108,86.2,Rejected
Health & Safety,Sick Leave,1,10,2,2,47,168,96.1,Approved
Health & Safety,Sick Leave,1,10,3,1,40,144,79.2,Approved
Health & Safety,Sick Leave,1,10,2,12,38,216,89.2,Approved
Health & Safety,Sick Leave,1,10,2,2,28,108,94.3,Approved
Administration,Casual Leave,2,10,3,6,36,132,78.3,Approved
Health & Safety,Sick Leave,1,10,1,2,40,144,76.4,Approved
Health & Safety,Sick Leave,1,10,1,3,28,108,79.1,Approved
Administration,Casual Leave,1,10,2,6,33,156,88.4,Approved
Health & Safety,Sick Leave,1,10,4,4,28,36,96.5,Approved
Health & Safety,Sick Leave,1,10,4,7,36,132,88.0,Rejected
Health & Safety,Sick Leave,1,11,3,13,38,216,87.1,Approved
Health & Safety,Sick Leave,1,11,2,4,28,108,74.1,Approved
Health & Safety,Sick Leave,1,11,3,14,38,216,90.5,Approved
Operations,Annual Leave,1,11,3,0,40,204,89.5,Approved
Health & Safety,Sick Leave,1,11,3,3,40,144,77.8,Approved
Health & Safety,Sick Leave,4,11,0,2,34,168,87.7,Approved
Health & Safety,Sick Leave,1,11,0,1,33,156,89.2,Approved
Health & Safety,Sick Leave,5,11,0,4,40,144,76.1,Approved
Health & Safety,Sick Leave,1,11,4,3,34,168,91.9,Approved
Health & Safety,Sick Leave,1,11,2,5,28,108,99.8,Rejected
Operations,Annual Leave,1,11,2,1,40,204,85.9,Rejected
Health & Safety,Sick Leave,1,11,4,5,28,108,85.4,Approved
Health & Safety,Sick Leave,1,11,4,7,36,132,88.2,Rejected
Health & Safety,Sick Leave,1,11,0,3,47,168,80.2,Approved
Health & Safety,Sick Leave,1,11,1,6,28,108,85.2,Approved
